Drug_Name,Target_Gene,Target_Protein,Condition,Therapeutic_Class,Mechanism_of_Action,Clinical_Trial_Phase,Status
Drug_30,Gene_119,Protein_129,Psychosis,NaSSA,Mechanism_2,Preclinical,Approved
Drug_31,Gene_359,Protein_274,Depression,Orexin Antagonist,Mechanism_200,Phase 1,Experimental
Drug_32,Gene_101,Protein_163,Anxiety,Orexin Antagonist,Mechanism_40,Phase 2,Approved
Drug_33,Gene_175,Protein_194,Depression,SNRI,Mechanism_97,Approved,Approved
Drug_34,Gene_138,Protein_133,Anxiety,Atypical Antipsychotic,Mechanism_173,Preclinical,Investigational
Drug_35,Gene_472,Protein_185,Anxiety,Azapirone,Mechanism_160,Phase 3,Experimental
Drug_36,Gene_438,Protein_198,Depression,Orexin Antagonist,Mechanism_14,Phase 3,Investigational
Drug_37,Gene_214,Protein_110,Anxiety,Azapirone,Mechanism_140,Phase 3,Experimental
Drug_38,Gene_207,Protein_211,Psychosis,Glutamatergic Modulator,Mechanism_136,Phase 1,Experimental
Drug_39,Gene_71,Protein_209,Psychosis,Psychedelic,Mechanism_29,Phase 2,Experimental
Drug_40,Gene_459,Protein_118,Depression,Glutamatergic Modulator,Mechanism_114,Phase 1,Approved
Drug_41,Gene_476,Protein_291,Depression,Psychedelic,Mechanism_98,Phase 2,Approved
Drug_42,Gene_88,Protein_53,Depression,NaSSA,Mechanism_162,Approved,Investigational
Drug_43,Gene_482,Protein_12,Depression,Azapirone,Mechanism_95,Preclinical,Approved
Drug_44,Gene_315,Protein_121,Psychosis,Beta-Blocker,Mechanism_150,Phase 3,Experimental
Drug_45,Gene_326,Protein_281,Psychosis,SSRI,Mechanism_151,Approved,Experimental
Drug_46,Gene_353,Protein_239,Psychosis,Azapirone,Mechanism_71,Phase 1,Approved
Drug_47,Gene_108,Protein_239,Anxiety,Orexin Antagonist,Mechanism_36,Phase 2,Approved
Drug_48,Gene_428,Protein_254,Anxiety,Benzodiazepine,Mechanism_96,Approved,Investigational
Drug_49,Gene_494,Protein_54,Anxiety,Glycine Modulator,Mechanism_45,Approved,Investigational
Drug_50,Gene_110,Protein_143,Anxiety,Atypical Antipsychotic,Mechanism_135,Phase 1,Experimental
Drug_51,Gene_91,Protein_169,Psychosis,Orexin Antagonist,Mechanism_76,Preclinical,Approved
Drug_52,Gene_283,Protein_200,Anxiety,NaSSA,Mechanism_92,Phase 3,Experimental
Drug_53,Gene_176,Protein_253,Psychosis,SSRI,Mechanism_105,Phase 3,Investigational
Drug_54,Gene_447,Protein_296,Psychosis,SSRI,Mechanism_162,Preclinical,Approved
Drug_55,Gene_107,Protein_241,Depression,Azapirone,Mechanism_42,Phase 3,Experimental
Drug_56,Gene_362,Protein_228,Anxiety,Atypical Antipsychotic,Mechanism_177,Preclinical,Experimental
Drug_57,Gene_339,Protein_172,Depression,SNRI,Mechanism_186,Preclinical,Investigational
Drug_58,Gene_168,Protein_140,Depression,Atypical Antipsychotic,Mechanism_54,Preclinical,Experimental
Drug_59,Gene_25,Protein_161,Depression,Glutamatergic Modulator,Mechanism_144,Preclinical,Investigational
Drug_60,Gene_90,Protein_162,Depression,NDRI,Mechanism_195,Preclinical,Approved
Drug_61,Gene_340,Protein_193,Anxiety,Beta-Blocker,Mechanism_74,Preclinical,Experimental
Drug_62,Gene_170,Protein_257,Anxiety,Atypical Antipsychotic,Mechanism_164,Phase 3,Investigational
Drug_63,Gene_477,Protein_225,Depression,NaSSA,Mechanism_191,Phase 2,Approved
Drug_64,Gene_380,Protein_191,Psychosis,Atypical Antipsychotic,Mechanism_140,Phase 1,Investigational
Drug_65,Gene_62,Protein_73,Anxiety,Psychedelic,Mechanism_138,Phase 3,Approved
Drug_66,Gene_212,Protein_219,Psychosis,SNRI,Mechanism_64,Phase 3,Experimental
Drug_67,Gene_252,Protein_36,Depression,SSRI,Mechanism_129,Preclinical,Experimental
Drug_68,Gene_331,Protein_129,Psychosis,Orexin Antagonist,Mechanism_20,Approved,Investigational
Drug_69,Gene_16,Protein_255,Anxiety,Benzodiazepine,Mechanism_50,Phase 1,Investigational
Drug_70,Gene_244,Protein_253,Depression,Atypical Antipsychotic,Mechanism_143,Phase 2,Experimental
Drug_71,Gene_304,Protein_115,Psychosis,Atypical Antipsychotic,Mechanism_191,Preclinical,Approved
Drug_72,Gene_176,Protein_267,Depression,Atypical Antipsychotic,Mechanism_167,Phase 1,Investigational
Drug_73,Gene_264,Protein_48,Depression,Azapirone,Mechanism_63,Phase 1,Experimental
Drug_74,Gene_316,Protein_231,Anxiety,Glycine Modulator,Mechanism_199,Phase 3,Approved
Drug_75,Gene_335,Protein_57,Psychosis,Benzodiazepine,Mechanism_84,Phase 1,Approved
Drug_76,Gene_83,Protein_146,Psychosis,SNRI,Mechanism_114,Preclinical,Experimental
Drug_77,Gene_127,Protein_198,Anxiety,Atypical Antipsychotic,Mechanism_118,Phase 3,Experimental
Drug_78,Gene_151,Protein_138,Depression,NDRI,Mechanism_130,Approved,Experimental
Drug_79,Gene_130,Protein_234,Depression,Glycine Modulator,Mechanism_140,Phase 1,Investigational
Drug_80,Gene_212,Protein_131,Psychosis,NDRI,Mechanism_17,Phase 2,Approved
Drug_81,Gene_449,Protein_300,Psychosis,Beta-Blocker,Mechanism_165,Phase 3,Experimental
Drug_82,Gene_155,Protein_53,Depression,SNRI,Mechanism_122,Approved,Experimental
Drug_83,Gene_134,Protein_249,Depression,Azapirone,Mechanism_171,Preclinical,Investigational
Drug_84,Gene_136,Protein_275,Depression,NaSSA,Mechanism_49,Preclinical,Approved
Drug_85,Gene_497,Protein_161,Psychosis,SSRI,Mechanism_171,Phase 1,Experimental
Drug_86,Gene_283,Protein_201,Psychosis,SSRI,Mechanism_82,Approved,Experimental
Drug_87,Gene_83,Protein_209,Depression,Glycine Modulator,Mechanism_111,Phase 3,Investigational
Drug_88,Gene_206,Protein_89,Psychosis,Glutamatergic Modulator,Mechanism_124,Preclinical,Investigational
Drug_89,Gene_275,Protein_115,Anxiety,Glycine Modulator,Mechanism_183,Approved,Experimental
Drug_90,Gene_66,Protein_142,Psychosis,Benzodiazepine,Mechanism_68,Phase 1,Approved
Drug_91,Gene_196,Protein_66,Depression,Orexin Antagonist,Mechanism_144,Approved,Approved
Drug_92,Gene_168,Protein_39,Depression,Beta-Blocker,Mechanism_37,Phase 3,Approved
Drug_93,Gene_491,Protein_199,Anxiety,Beta-Blocker,Mechanism_196,Phase 3,Investigational
Drug_94,Gene_149,Protein_123,Psychosis,SNRI,Mechanism_51,Preclinical,Experimental
Drug_95,Gene_371,Protein_151,Psychosis,Orexin Antagonist,Mechanism_172,Phase 3,Investigational
Drug_96,Gene_72,Protein_203,Anxiety,SSRI,Mechanism_120,Phase 1,Experimental
Drug_97,Gene_263,Protein_160,Anxiety,SNRI,Mechanism_92,Preclinical,Experimental
Drug_98,Gene_345,Protein_260,Depression,Benzodiazepine,Mechanism_124,Phase 1,Approved
Drug_99,Gene_37,Protein_220,Psychosis,Orexin Antagonist,Mechanism_81,Phase 2,Investigational
Drug_100,Gene_156,Protein_49,Psychosis,Atypical Antipsychotic,Mechanism_40,Phase 3,Investigational
Drug_101,Gene_405,Protein_33,Psychosis,Azapirone,Mechanism_11,Phase 1,Approved
Drug_102,Gene_59,Protein_83,Anxiety,Glycine Modulator,Mechanism_104,Approved,Investigational
Drug_103,Gene_442,Protein_121,Depression,Atypical Antipsychotic,Mechanism_191,Preclinical,Experimental
Drug_104,Gene_358,Protein_237,Depression,SSRI,Mechanism_38,Approved,Investigational
Drug_105,Gene_49,Protein_211,Depression,NDRI,Mechanism_43,Phase 2,Experimental
Drug_106,Gene_384,Protein_278,Depression,Benzodiazepine,Mechanism_75,Phase 1,Experimental
Drug_107,Gene_60,Protein_182,Psychosis,Beta-Blocker,Mechanism_86,Phase 1,Investigational
Drug_108,Gene_195,Protein_274,Anxiety,Atypical Antipsychotic,Mechanism_133,Approved,Investigational
Drug_109,Gene_177,Protein_166,Depression,SNRI,Mechanism_18,Phase 2,Investigational
Drug_110,Gene_182,Protein_159,Depression,SNRI,Mechanism_155,Preclinical,Experimental
Drug_111,Gene_291,Protein_212,Anxiety,SSRI,Mechanism_94,Phase 3,Investigational
Drug_112,Gene_356,Protein_158,Depression,Glutamatergic Modulator,Mechanism_167,Approved,Experimental
Drug_113,Gene_56,Protein_45,Psychosis,Benzodiazepine,Mechanism_86,Phase 2,Experimental
Drug_114,Gene_477,Protein_242,Psychosis,SSRI,Mechanism_56,Phase 3,Investigational
Drug_115,Gene_217,Protein_83,Psychosis,Beta-Blocker,Mechanism_134,Phase 3,Investigational
Drug_116,Gene_131,Protein_250,Depression,Psychedelic,Mechanism_109,Preclinical,Experimental
Drug_117,Gene_488,Protein_157,Depression,NDRI,Mechanism_68,Phase 2,Investigational
Drug_118,Gene_293,Protein_216,Psychosis,Orexin Antagonist,Mechanism_128,Phase 1,Experimental
Drug_119,Gene_31,Protein_207,Anxiety,Azapirone,Mechanism_73,Phase 1,Investigational
Drug_120,Gene_251,Protein_274,Psychosis,NaSSA,Mechanism_77,Phase 1,Experimental
Drug_121,Gene_484,Protein_192,Anxiety,Benzodiazepine,Mechanism_191,Preclinical,Experimental
Drug_122,Gene_174,Protein_132,Psychosis,Atypical Antipsychotic,Mechanism_65,Approved,Investigational
Drug_123,Gene_19,Protein_21,Anxiety,SNRI,Mechanism_159,Phase 2,Approved
Drug_124,Gene_138,Protein_116,Depression,NaSSA,Mechanism_181,Phase 2,Experimental
Drug_125,Gene_254,Protein_182,Depression,Glycine Modulator,Mechanism_100,Phase 2,Investigational
Drug_126,Gene_273,Protein_38,Anxiety,Glycine Modulator,Mechanism_44,Phase 1,Approved
Drug_127,Gene_11,Protein_125,Psychosis,Glutamatergic Modulator,Mechanism_113,Phase 3,Investigational
Drug_128,Gene_492,Protein_49,Anxiety,Psychedelic,Mechanism_153,Approved,Investigational
Drug_129,Gene_211,Protein_178,Psychosis,SSRI,Mechanism_48,Phase 2,Approved
Drug_130,Gene_454,Protein_97,Anxiety,Glutamatergic Modulator,Mechanism_78,Phase 3,Experimental
Drug_131,Gene_424,Protein_46,Psychosis,Glutamatergic Modulator,Mechanism_122,Phase 1,Investigational
Drug_132,Gene_385,Protein_195,Anxiety,Glutamatergic Modulator,Mechanism_117,Preclinical,Approved
Drug_133,Gene_85,Protein_100,Psychosis,NaSSA,Mechanism_90,Phase 1,Experimental
Drug_134,Gene_96,Protein_58,Depression,Glycine Modulator,Mechanism_153,Phase 1,Investigational
Drug_135,Gene_132,Protein_32,Depression,Beta-Blocker,Mechanism_128,Approved,Approved
Drug_136,Gene_70,Protein_102,Psychosis,Glutamatergic Modulator,Mechanism_1,Approved,Experimental
Drug_137,Gene_149,Protein_96,Depression,SSRI,Mechanism_28,Phase 2,Investigational
Drug_138,Gene_393,Protein_117,Psychosis,Glycine Modulator,Mechanism_142,Phase 2,Experimental
Drug_139,Gene_118,Protein_9,Psychosis,Glycine Modulator,Mechanism_107,Phase 2,Experimental
Drug_140,Gene_368,Protein_100,Psychosis,Azapirone,Mechanism_192,Approved,Experimental
Drug_141,Gene_406,Protein_248,Psychosis,Orexin Antagonist,Mechanism_148,Preclinical,Approved
Drug_142,Gene_1,Protein_63,Psychosis,Azapirone,Mechanism_82,Preclinical,Experimental
Drug_143,Gene_133,Protein_127,Anxiety,Orexin Antagonist,Mechanism_100,Phase 3,Investigational
Drug_144,Gene_420,Protein_128,Anxiety,NDRI,Mechanism_63,Phase 2,Experimental
Drug_145,Gene_85,Protein_146,Anxiety,NaSSA,Mechanism_65,Phase 2,Experimental
Drug_146,Gene_78,Protein_110,Psychosis,NaSSA,Mechanism_161,Phase 2,Experimental
Drug_147,Gene_151,Protein_151,Depression,NaSSA,Mechanism_122,Phase 2,Approved
Drug_148,Gene_288,Protein_201,Anxiety,NaSSA,Mechanism_9,Approved,Experimental
Drug_149,Gene_83,Protein_281,Psychosis,NDRI,Mechanism_41,Phase 2,Approved
Drug_150,Gene_50,Protein_120,Anxiety,Benzodiazepine,Mechanism_94,Preclinical,Experimental
Drug_151,Gene_395,Protein_118,Psychosis,Glycine Modulator,Mechanism_193,Phase 1,Experimental
Drug_152,Gene_67,Protein_263,Psychosis,Benzodiazepine,Mechanism_189,Phase 1,Approved
Drug_153,Gene_475,Protein_293,Psychosis,Azapirone,Mechanism_163,Preclinical,Experimental
Drug_154,Gene_85,Protein_136,Anxiety,SSRI,Mechanism_198,Phase 2,Experimental
Drug_155,Gene_144,Protein_185,Depression,Psychedelic,Mechanism_131,Preclinical,Experimental
Drug_156,Gene_487,Protein_221,Depression,Psychedelic,Mechanism_46,Preclinical,Experimental
Drug_157,Gene_166,Protein_292,Depression,NDRI,Mechanism_80,Phase 3,Investigational
Drug_158,Gene_426,Protein_176,Depression,Benzodiazepine,Mechanism_55,Phase 3,Approved
Drug_159,Gene_181,Protein_158,Anxiety,Glutamatergic Modulator,Mechanism_83,Preclinical,Investigational
Drug_160,Gene_450,Protein_61,Psychosis,Azapirone,Mechanism_100,Approved,Investigational
Drug_161,Gene_251,Protein_208,Depression,Glutamatergic Modulator,Mechanism_195,Phase 1,Approved
Drug_162,Gene_421,Protein_89,Depression,Psychedelic,Mechanism_94,Phase 1,Approved
Drug_163,Gene_133,Protein_13,Anxiety,SSRI,Mechanism_72,Preclinical,Investigational
Drug_164,Gene_273,Protein_295,Depression,NaSSA,Mechanism_105,Phase 2,Approved
Drug_165,Gene_185,Protein_130,Psychosis,Azapirone,Mechanism_81,Phase 2,Experimental
Drug_166,Gene_238,Protein_207,Depression,NDRI,Mechanism_158,Approved,Approved
Drug_167,Gene_358,Protein_18,Psychosis,NaSSA,Mechanism_152,Phase 2,Experimental
Drug_168,Gene_103,Protein_299,Psychosis,Orexin Antagonist,Mechanism_27,Approved,Investigational
Drug_169,Gene_60,Protein_1,Psychosis,Beta-Blocker,Mechanism_191,Phase 3,Approved
Drug_170,Gene_182,Protein_285,Depression,Psychedelic,Mechanism_184,Phase 2,Experimental
Drug_171,Gene_46,Protein_125,Anxiety,Azapirone,Mechanism_170,Preclinical,Experimental
Drug_172,Gene_29,Protein_59,Depression,Glycine Modulator,Mechanism_112,Phase 1,Investigational
Drug_173,Gene_134,Protein_100,Depression,Azapirone,Mechanism_160,Phase 1,Investigational
Drug_174,Gene_253,Protein_190,Depression,Azapirone,Mechanism_71,Phase 1,Approved
Drug_175,Gene_36,Protein_197,Anxiety,Glutamatergic Modulator,Mechanism_122,Preclinical,Experimental
Drug_176,Gene_81,Protein_75,Anxiety,SSRI,Mechanism_99,Phase 3,Investigational
Drug_177,Gene_395,Protein_124,Depression,Psychedelic,Mechanism_132,Preclinical,Experimental
Drug_178,Gene_393,Protein_294,Psychosis,Orexin Antagonist,Mechanism_141,Phase 2,Investigational
Drug_179,Gene_196,Protein_51,Psychosis,Glutamatergic Modulator,Mechanism_96,Approved,Approved
Drug_180,Gene_376,Protein_205,Anxiety,SNRI,Mechanism_105,Preclinical,Investigational
Drug_181,Gene_494,Protein_153,Psychosis,Azapirone,Mechanism_118,Phase 1,Approved
Drug_182,Gene_481,Protein_66,Depression,SNRI,Mechanism_166,Approved,Investigational
Drug_183,Gene_457,Protein_79,Depression,Beta-Blocker,Mechanism_47,Preclinical,Investigational
Drug_184,Gene_219,Protein_179,Psychosis,SNRI,Mechanism_127,Phase 2,Approved
Drug_185,Gene_13,Protein_189,Psychosis,SNRI,Mechanism_107,Preclinical,Approved
Drug_186,Gene_500,Protein_266,Depression,NaSSA,Mechanism_87,Approved,Investigational
Drug_187,Gene_336,Protein_55,Anxiety,SSRI,Mechanism_47,Phase 3,Investigational
Drug_188,Gene_492,Protein_147,Anxiety,Beta-Blocker,Mechanism_3,Phase 3,Investigational
Drug_189,Gene_125,Protein_32,Psychosis,Orexin Antagonist,Mechanism_65,Approved,Approved
Drug_190,Gene_341,Protein_127,Depression,Azapirone,Mechanism_122,Phase 3,Experimental
Drug_191,Gene_74,Protein_270,Depression,SSRI,Mechanism_61,Preclinical,Experimental
Drug_192,Gene_36,Protein_261,Depression,Atypical Antipsychotic,Mechanism_111,Phase 2,Approved
Drug_193,Gene_485,Protein_21,Depression,SNRI,Mechanism_171,Phase 2,Investigational
Drug_194,Gene_99,Protein_60,Psychosis,NaSSA,Mechanism_153,Preclinical,Experimental
Drug_195,Gene_149,Protein_75,Psychosis,Beta-Blocker,Mechanism_153,Approved,Investigational
Drug_196,Gene_347,Protein_149,Depression,Benzodiazepine,Mechanism_145,Approved,Experimental
Drug_197,Gene_119,Protein_255,Depression,Beta-Blocker,Mechanism_115,Approved,Experimental
Drug_198,Gene_267,Protein_246,Psychosis,Glycine Modulator,Mechanism_125,Phase 2,Approved
Drug_199,Gene_314,Protein_249,Psychosis,Psychedelic,Mechanism_147,Phase 1,Investigational
Drug_200,Gene_441,Protein_113,Depression,Orexin Antagonist,Mechanism_51,Preclinical,Experimental
Drug_201,Gene_140,Protein_29,Psychosis,Orexin Antagonist,Mechanism_32,Preclinical,Experimental
Drug_202,Gene_414,Protein_287,Anxiety,SSRI,Mechanism_86,Approved,Approved
Drug_203,Gene_453,Protein_70,Depression,SNRI,Mechanism_9,Approved,Approved
Drug_204,Gene_367,Protein_106,Psychosis,SSRI,Mechanism_130,Phase 3,Approved
Drug_205,Gene_244,Protein_246,Psychosis,NaSSA,Mechanism_136,Preclinical,Investigational
Drug_206,Gene_54,Protein_55,Psychosis,NaSSA,Mechanism_189,Approved,Investigational
Drug_207,Gene_3,Protein_9,Psychosis,SNRI,Mechanism_165,Approved,Experimental
Drug_208,Gene_379,Protein_255,Anxiety,Atypical Antipsychotic,Mechanism_34,Preclinical,Experimental
Drug_209,Gene_385,Protein_201,Psychosis,Psychedelic,Mechanism_149,Approved,Experimental
Drug_210,Gene_234,Protein_142,Anxiety,Beta-Blocker,Mechanism_190,Preclinical,Approved
Drug_211,Gene_493,Protein_180,Depression,Glycine Modulator,Mechanism_76,Phase 2,Experimental
Drug_212,Gene_409,Protein_136,Anxiety,Orexin Antagonist,Mechanism_112,Phase 1,Approved
Drug_213,Gene_354,Protein_248,Anxiety,SNRI,Mechanism_126,Phase 1,Experimental
Drug_214,Gene_481,Protein_248,Psychosis,SNRI,Mechanism_48,Phase 3,Experimental
Drug_215,Gene_36,Protein_66,Anxiety,NaSSA,Mechanism_109,Phase 2,Experimental
Drug_216,Gene_265,Protein_243,Psychosis,NaSSA,Mechanism_191,Phase 1,Investigational
Drug_217,Gene_369,Protein_253,Depression,SSRI,Mechanism_34,Approved,Investigational
Drug_218,Gene_211,Protein_172,Psychosis,Psychedelic,Mechanism_153,Preclinical,Approved
Drug_219,Gene_481,Protein_114,Depression,Atypical Antipsychotic,Mechanism_102,Approved,Experimental
Drug_220,Gene_424,Protein_77,Psychosis,SSRI,Mechanism_26,Phase 1,Experimental
Drug_221,Gene_496,Protein_29,Anxiety,Benzodiazepine,Mechanism_145,Phase 2,Experimental
Drug_222,Gene_492,Protein_240,Anxiety,Orexin Antagonist,Mechanism_199,Preclinical,Investigational
Drug_223,Gene_292,Protein_270,Psychosis,SNRI,Mechanism_179,Approved,Investigational
Drug_224,Gene_425,Protein_236,Psychosis,SSRI,Mechanism_135,Approved,Approved
Drug_225,Gene_66,Protein_123,Anxiety,Orexin Antagonist,Mechanism_80,Approved,Experimental
Drug_226,Gene_391,Protein_191,Psychosis,SSRI,Mechanism_157,Phase 1,Experimental
Drug_227,Gene_93,Protein_43,Psychosis,Beta-Blocker,Mechanism_127,Preclinical,Approved
Drug_228,Gene_78,Protein_194,Anxiety,Benzodiazepine,Mechanism_89,Approved,Investigational
Drug_229,Gene_129,Protein_93,Anxiety,Azapirone,Mechanism_113,Phase 2,Investigational
Drug_230,Gene_95,Protein_299,Anxiety,Benzodiazepine,Mechanism_138,Phase 1,Experimental
Drug_231,Gene_372,Protein_95,Psychosis,SSRI,Mechanism_162,Approved,Approved
Drug_232,Gene_444,Protein_177,Depression,Orexin Antagonist,Mechanism_8,Phase 2,Experimental
Drug_233,Gene_175,Protein_40,Depression,Glycine Modulator,Mechanism_191,Phase 1,Investigational
Drug_234,Gene_295,Protein_174,Anxiety,NaSSA,Mechanism_87,Preclinical,Approved
Drug_235,Gene_273,Protein_141,Psychosis,Glutamatergic Modulator,Mechanism_147,Approved,Approved
Drug_236,Gene_126,Protein_16,Anxiety,NaSSA,Mechanism_166,Approved,Experimental
Drug_237,Gene_317,Protein_239,Anxiety,Atypical Antipsychotic,Mechanism_151,Preclinical,Investigational
Drug_238,Gene_9,Protein_132,Anxiety,Glutamatergic Modulator,Mechanism_111,Approved,Experimental
Drug_239,Gene_100,Protein_39,Psychosis,NDRI,Mechanism_8,Approved,Approved
Drug_240,Gene_352,Protein_280,Psychosis,SNRI,Mechanism_103,Phase 3,Experimental
Drug_241,Gene_406,Protein_272,Psychosis,NaSSA,Mechanism_131,Approved,Investigational
Drug_242,Gene_13,Protein_252,Anxiety,NDRI,Mechanism_143,Phase 1,Investigational
Drug_243,Gene_344,Protein_283,Psychosis,Beta-Blocker,Mechanism_59,Phase 3,Investigational
Drug_244,Gene_280,Protein_230,Depression,Beta-Blocker,Mechanism_96,Phase 1,Investigational
Drug_245,Gene_481,Protein_137,Depression,Psychedelic,Mechanism_186,Phase 1,Investigational
Drug_246,Gene_34,Protein_162,Anxiety,Atypical Antipsychotic,Mechanism_147,Phase 2,Approved
Drug_247,Gene_95,Protein_140,Anxiety,Glutamatergic Modulator,Mechanism_180,Approved,Investigational
Drug_248,Gene_242,Protein_33,Depression,Glutamatergic Modulator,Mechanism_138,Approved,Investigational
Drug_249,Gene_168,Protein_297,Depression,Azapirone,Mechanism_12,Preclinical,Experimental
Drug_250,Gene_243,Protein_93,Anxiety,Orexin Antagonist,Mechanism_46,Approved,Investigational
Drug_251,Gene_480,Protein_279,Psychosis,Atypical Antipsychotic,Mechanism_149,Phase 2,Approved
Drug_252,Gene_428,Protein_5,Anxiety,Atypical Antipsychotic,Mechanism_169,Phase 2,Experimental
Drug_253,Gene_431,Protein_237,Anxiety,Atypical Antipsychotic,Mechanism_44,Phase 2,Investigational
Drug_254,Gene_449,Protein_23,Anxiety,Beta-Blocker,Mechanism_107,Phase 1,Approved
Drug_255,Gene_249,Protein_103,Psychosis,Azapirone,Mechanism_40,Phase 1,Investigational
Drug_256,Gene_69,Protein_131,Psychosis,Atypical Antipsychotic,Mechanism_10,Phase 2,Investigational
Drug_257,Gene_415,Protein_20,Psychosis,Azapirone,Mechanism_147,Preclinical,Experimental
Drug_258,Gene_53,Protein_213,Psychosis,Glutamatergic Modulator,Mechanism_81,Phase 2,Approved
Drug_259,Gene_266,Protein_262,Anxiety,Beta-Blocker,Mechanism_20,Phase 2,Approved
Drug_260,Gene_82,Protein_228,Psychosis,SSRI,Mechanism_114,Phase 2,Experimental
Drug_261,Gene_489,Protein_138,Anxiety,Glutamatergic Modulator,Mechanism_91,Approved,Investigational
Drug_262,Gene_143,Protein_267,Anxiety,Azapirone,Mechanism_147,Phase 1,Approved
Drug_263,Gene_212,Protein_17,Depression,Azapirone,Mechanism_65,Preclinical,Approved
Drug_264,Gene_34,Protein_283,Psychosis,Orexin Antagonist,Mechanism_135,Preclinical,Investigational
Drug_265,Gene_88,Protein_23,Anxiety,Benzodiazepine,Mechanism_112,Phase 2,Approved
Drug_266,Gene_56,Protein_208,Depression,Orexin Antagonist,Mechanism_97,Preclinical,Approved
Drug_267,Gene_147,Protein_77,Psychosis,NDRI,Mechanism_18,Approved,Approved
Drug_268,Gene_387,Protein_246,Anxiety,Psychedelic,Mechanism_110,Phase 3,Approved
Drug_269,Gene_68,Protein_180,Depression,Beta-Blocker,Mechanism_174,Phase 2,Experimental
Drug_270,Gene_83,Protein_32,Psychosis,SSRI,Mechanism_184,Approved,Experimental
Drug_271,Gene_115,Protein_227,Depression,SSRI,Mechanism_93,Preclinical,Investigational
Drug_272,Gene_246,Protein_101,Psychosis,SSRI,Mechanism_3,Approved,Investigational
Drug_273,Gene_2,Protein_141,Anxiety,SNRI,Mechanism_84,Phase 3,Experimental
Drug_274,Gene_254,Protein_148,Depression,SSRI,Mechanism_87,Preclinical,Investigational
Drug_275,Gene_276,Protein_266,Depression,NaSSA,Mechanism_132,Preclinical,Investigational
Drug_276,Gene_337,Protein_92,Psychosis,SSRI,Mechanism_43,Phase 1,Approved
Drug_277,Gene_224,Protein_60,Anxiety,SNRI,Mechanism_187,Phase 1,Experimental
Drug_278,Gene_137,Protein_34,Anxiety,Beta-Blocker,Mechanism_55,Preclinical,Approved
Drug_279,Gene_315,Protein_83,Psychosis,Glycine Modulator,Mechanism_115,Phase 1,Investigational
