Drug Name,Drug Class,Target,Mechanism of Action,Indication,Approval Year,Common Side Effects,Relevant Studies
Drug 13,SSRI,Dopamine Receptors,Inhibits reuptake of serotonine,Schizophrenia,2006,"Somolence, Insomnia, Diarrhea",Nuss et al. 2020
Drug 14,SSRI,Norepinephrine Transporter (NET),Enhances the effect of GABA at the GABA-A receptor,Insomnia,2001,Nursea,Sullivan et al. (2017)
Drug 15,Anxiolytic,GABA Receptor,Antagonist at centain serotinin and norepinephrine receptors,Schizophrenia,2018,Drowsiness,Parker et al. (2022)
Drug 16,Atypical Antipsychotic,Norepinephrine Transporter (NET),Antagonist at centain serotinin and norepinephrine receptors,OCD,1964,Nursea,Sullivan et al. (2017)
Drug 17,Anxiolytic,Norepinephrine Transporter (NET),Inhibits reuptake of serotonin and norepinephrine,Schizophrenia,1971,Drowsiness,Johnson et al. (2019)
Drug 18,NDRI,GABA Receptor,Inhibits reuptake of serotonin and norepinephrine,Schizophrenia,1994,"Akathisia, Fatigue, Somolence",Parker et al. (2022)
Drug 19,Atypical Antipsychotic,GABA Receptor,Antagonist at centain serotinin and norepinephrine receptors,Anxiety,2000,Diarrhea,Davis et al. (2021)
Drug 20,SSRI,Norepinephrine Transporter (NET),Antagonist at centain serotinin and norepinephrine receptors,Schizophrenia,2020,"Diarrhea, Nursea",white et al. (2021)
Drug 21,NDRI,Serotinin Transporter (SERT),Inhibits reuptake of serotonine,Insomnia,1965,"Fatigue, Drowsiness",Sullivan et al. (2017)
Drug 22,TCA,GABA Receptor,"Partial agonism and blockade, stabilizes dopamine levels",Generalized Anxiety,1969,Fatigue,Garcia et al. (2020)
Drug 23,NaSSA,Serotinin Transporter (SERT),Enhances the effect of GABA at the GABA-A receptor,Generalized Anxiety,1983,"Nursea, Somolence, Drowsiness",Sullivan et al. (2017)
Drug 24,TCA,Dopamine Receptors,Inhibits reuptake of serotonin and norepinephrine,OCD,1994,"Weight Gain, Headache, Somolence",Davis et al. (2021)
Drug 25,Atypical Antipsychotic,Serotinin Transporter (SERT),Inhibits reuptake of serotonine,Anxiety,2009,Weight Gain,Davis et al. (2021)
Drug 26,NDRI,Serotinin and Norepinephrine,Inhibits reuptake of serotonine,Bipolar Disorder,1976,"Diarrhea, Fatigue",Garcia et al. (2020)
Drug 27,SSRI,Serotinin and Norepinephrine,Inhibits reuptake of serotonin and norepinephrine,Bipolar Disorder,1997,"Drowsiness, Somolence",Thompson et al. (2019)
Drug 28,SARI,GABA Receptor,Inhibits reuptake of serotonin and norepinephrine,Panic Disorder,1967,"Insomnia, Fatigue, Akathisia",Brown et al. (2023)
Drug 29,Atypical Antipsychotic,Serotinin Transporter (SERT),"Partial agonism and blockade, stabilizes dopamine levels",Depression,1997,"Somolence, Drowsiness",Parker et al. (2022)
Drug 30,Atypical Antipsychotic,Serotinin and Norepinephrine,Enhances the effect of GABA at the GABA-A receptor,Generalized Anxiety,1995,"Drowsiness, Diarrhea, Fatigue",Nuss et al. 2020
Drug 31,TCA,Dopamine Receptors,Antagonist at centain serotinin and norepinephrine receptors,Panic Disorder,1967,"Diarrhea, Fatigue, Weight Gain",Nuss et al. 2020
Drug 32,Atypical Antipsychotic,Serotinin Transporter (SERT),Inhibits reuptake of serotonin and norepinephrine,Panic Disorder,1966,Somolence,Garcia et al. (2020)
Drug 33,SARI,Serotinin and Norepinephrine,Antagonist at centain serotinin and norepinephrine receptors,Anxiety,2008,Insomnia,Brown et al. (2023)
Drug 34,SARI,Serotinin Transporter (SERT),Inhibits reuptake of serotonin and norepinephrine,Insomnia,1999,"Nursea, Diarrhea, Insomnia",Garcia et al. (2020)
Drug 35,Anxiolytic,Serotinin and Norepinephrine,Inhibits reuptake of serotonine,Depression,1974,"Nursea, Somolence",Brown et al. (2023)
Drug 36,NDRI,Serotinin and Norepinephrine,Inhibits reuptake of serotonine,OCD,1995,"Akathisia, Dry Mouth, Nursea",Davis et al. (2021)
Drug 37,TCA,Dopamine Receptors,Inhibits reuptake of serotonine,Insomnia,2005,Weight Gain,Brown et al. (2023)
Drug 38,SARI,GABA Receptor,Enhances the effect of GABA at the GABA-A receptor,Bipolar Disorder,1963,Drowsiness,Smith et al. (2020)
Drug 39,NDRI,Serotinin Transporter (SERT),Inhibits reuptake of serotonin and norepinephrine,Anxiety,1963,"Headache, Akathisia",Sullivan et al. (2017)
Drug 40,SARI,Serotinin Transporter (SERT),Inhibits reuptake of serotonin and norepinephrine,Depression,1981,"Dry Mouth, Diarrhea",Johnson et al. (2019)
Drug 41,NDRI,Dopamine Receptors,Antagonist at centain serotinin and norepinephrine receptors,Bipolar Disorder,1963,Weight Gain,Davis et al. (2021)
Drug 42,SARI,Serotinin and Norepinephrine,Antagonist at centain serotinin and norepinephrine receptors,Depression,1972,"Drowsiness, Nursea",white et al. (2021)
Drug 43,Anxiolytic,Serotinin Transporter (SERT),Inhibits reuptake of serotonine,OCD,2013,Somolence,Davis et al. (2021)
Drug 44,NaSSA,Serotinin Transporter (SERT),Antagonist at centain serotinin and norepinephrine receptors,Bipolar Disorder,2009,"Diarrhea, Weight Gain",white et al. (2021)
Drug 45,Anxiolytic,Serotinin and Norepinephrine,"Partial agonism and blockade, stabilizes dopamine levels",Generalized Anxiety,1966,Insomnia,Nuss et al. 2020
Drug 46,SSRI,Serotinin and Norepinephrine,Enhances the effect of GABA at the GABA-A receptor,Bipolar Disorder,1967,"Akathisia, Weight Gain",Nuss et al. 2020
Drug 47,Atypical Antipsychotic,Serotinin and Norepinephrine,Inhibits reuptake of serotonin and norepinephrine,Bipolar Disorder,1969,"Somolence, Dry Mouth",white et al. (2021)
Drug 48,SSRI,Serotinin Transporter (SERT),Inhibits reuptake of serotonine,Panic Disorder,1963,"Drowsiness, Insomnia",Parker et al. (2022)
Drug 49,TCA,Serotinin Transporter (SERT),Inhibits reuptake of serotonine,Bipolar Disorder,2019,"Insomnia, Nursea",Sullivan et al. (2017)
Drug 50,SARI,Norepinephrine Transporter (NET),Inhibits reuptake of serotonin and norepinephrine,Insomnia,2010,Dry Mouth,white et al. (2021)
Drug 51,Anxiolytic,Dopamine Receptors,Enhances the effect of GABA at the GABA-A receptor,Insomnia,1989,"Fatigue, Somolence, Diarrhea",Brown et al. (2023)
Drug 52,NaSSA,Serotinin Transporter (SERT),"Partial agonism and blockade, stabilizes dopamine levels",Depression,1999,"Weight Gain, Somolence, Nursea",Parker et al. (2022)
Drug 53,SARI,Serotinin and Norepinephrine,Inhibits reuptake of serotonin and norepinephrine,Generalized Anxiety,1991,"Dry Mouth, Fatigue, Somolence",white et al. (2021)
Drug 54,Anxiolytic,Norepinephrine Transporter (NET),Enhances the effect of GABA at the GABA-A receptor,Bipolar Disorder,1968,Dry Mouth,Brown et al. (2023)
Drug 55,Anxiolytic,GABA Receptor,Inhibits reuptake of serotonin and norepinephrine,OCD,1990,Nursea,Brown et al. (2023)
Drug 56,SSRI,Dopamine Receptors,"Partial agonism and blockade, stabilizes dopamine levels",Insomnia,1989,"Nursea, Drowsiness",Sullivan et al. (2017)
Drug 57,SARI,Serotinin and Norepinephrine,Inhibits reuptake of serotonin and norepinephrine,Schizophrenia,1984,"Nursea, Insomnia",Brown et al. (2023)
Drug 58,NaSSA,Serotinin and Norepinephrine,Inhibits reuptake of serotonine,Bipolar Disorder,1974,"Nursea, Diarrhea, Weight Gain",Garcia et al. (2020)
Drug 59,NaSSA,Serotinin Transporter (SERT),Enhances the effect of GABA at the GABA-A receptor,Bipolar Disorder,1982,"Dry Mouth, Weight Gain",Brown et al. (2023)
Drug 60,SARI,Norepinephrine Transporter (NET),Inhibits reuptake of serotonin and norepinephrine,Panic Disorder,1987,Diarrhea,Davis et al. (2021)
Drug 61,NaSSA,Dopamine Receptors,Inhibits reuptake of serotonine,Generalized Anxiety,2000,Somolence,Parker et al. (2022)
Drug 62,NaSSA,Dopamine Receptors,"Partial agonism and blockade, stabilizes dopamine levels",Generalized Anxiety,1983,"Headache, Weight Gain, Insomnia",Johnson et al. (2019)
Drug 63,Atypical Antipsychotic,Serotinin Transporter (SERT),"Partial agonism and blockade, stabilizes dopamine levels",Generalized Anxiety,2012,Akathisia,Brown et al. (2023)
Drug 64,NDRI,Dopamine Receptors,Inhibits reuptake of serotonine,Depression,1970,"Somolence, Drowsiness",Thompson et al. (2019)
Drug 65,SARI,Norepinephrine Transporter (NET),Inhibits reuptake of serotonine,Generalized Anxiety,1964,Fatigue,Davis et al. (2021)
Drug 66,SARI,GABA Receptor,Antagonist at centain serotinin and norepinephrine receptors,OCD,2020,Akathisia,Nuss et al. 2020
Drug 67,SSRI,Serotinin Transporter (SERT),Antagonist at centain serotinin and norepinephrine receptors,Insomnia,1963,"Insomnia, Nursea",Brown et al. (2023)
Drug 68,Anxiolytic,Dopamine Receptors,"Partial agonism and blockade, stabilizes dopamine levels",Depression,2002,Headache,Johnson et al. (2019)
Drug 69,NaSSA,Serotinin and Norepinephrine,Inhibits reuptake of serotonine,Bipolar Disorder,2007,"Akathisia, Somolence",Johnson et al. (2019)
Drug 70,NDRI,Serotinin Transporter (SERT),"Partial agonism and blockade, stabilizes dopamine levels",Depression,2000,"Akathisia, Drowsiness, Weight Gain",Thompson et al. (2019)
Drug 71,TCA,Norepinephrine Transporter (NET),Antagonist at centain serotinin and norepinephrine receptors,Panic Disorder,1963,"Nursea, Somolence",Garcia et al. (2020)
Drug 72,SARI,GABA Receptor,Inhibits reuptake of serotonine,Insomnia,2013,"Somolence, Diarrhea, Headache",Parker et al. (2022)
Drug 73,NDRI,Norepinephrine Transporter (NET),Antagonist at centain serotinin and norepinephrine receptors,Panic Disorder,1974,"Weight Gain, Nursea",white et al. (2021)
Drug 74,Anxiolytic,Serotinin Transporter (SERT),Inhibits reuptake of serotonin and norepinephrine,Anxiety,1978,Somolence,Sullivan et al. (2017)
Drug 75,Atypical Antipsychotic,Serotinin and Norepinephrine,Inhibits reuptake of serotonin and norepinephrine,Generalized Anxiety,1969,"Nursea, Weight Gain, Drowsiness",Parker et al. (2022)
Drug 76,SARI,Dopamine Receptors,Antagonist at centain serotinin and norepinephrine receptors,Panic Disorder,1983,"Headache, Drowsiness, Nursea",white et al. (2021)
Drug 77,NaSSA,Serotinin and Norepinephrine,Antagonist at centain serotinin and norepinephrine receptors,Schizophrenia,2012,"Drowsiness, Diarrhea",Sullivan et al. (2017)
Drug 78,NDRI,Dopamine Receptors,Antagonist at centain serotinin and norepinephrine receptors,OCD,2017,Dry Mouth,white et al. (2021)
Drug 79,Anxiolytic,Serotinin Transporter (SERT),"Partial agonism and blockade, stabilizes dopamine levels",Anxiety,2018,"Nursea, Fatigue, Dry Mouth",Nuss et al. 2020
Drug 80,TCA,GABA Receptor,Enhances the effect of GABA at the GABA-A receptor,Generalized Anxiety,1968,"Dry Mouth, Fatigue, Diarrhea",Sullivan et al. (2017)
Drug 81,NDRI,Serotinin Transporter (SERT),Inhibits reuptake of serotonin and norepinephrine,Depression,2013,Fatigue,Parker et al. (2022)
Drug 82,NaSSA,Norepinephrine Transporter (NET),Enhances the effect of GABA at the GABA-A receptor,Bipolar Disorder,1991,Drowsiness,Davis et al. (2021)
Drug 83,Atypical Antipsychotic,Serotinin Transporter (SERT),Inhibits reuptake of serotonin and norepinephrine,Panic Disorder,2006,"Dry Mouth, Nursea",Sullivan et al. (2017)
Drug 84,SARI,Dopamine Receptors,Inhibits reuptake of serotonin and norepinephrine,OCD,1984,"Diarrhea, Weight Gain, Insomnia",white et al. (2021)
Drug 85,SARI,GABA Receptor,Inhibits reuptake of serotonin and norepinephrine,OCD,1973,"Dry Mouth, Diarrhea",Brown et al. (2023)
Drug 86,SARI,GABA Receptor,"Partial agonism and blockade, stabilizes dopamine levels",OCD,2006,"Insomnia, Headache",Johnson et al. (2019)
Drug 87,SSRI,Dopamine Receptors,Antagonist at centain serotinin and norepinephrine receptors,Depression,1994,"Dry Mouth, Weight Gain, Diarrhea",white et al. (2021)
Drug 88,SARI,Serotinin and Norepinephrine,Inhibits reuptake of serotonine,Bipolar Disorder,1991,"Nursea, Dry Mouth",Thompson et al. (2019)
Drug 89,Anxiolytic,Serotinin and Norepinephrine,Inhibits reuptake of serotonine,Panic Disorder,2012,"Dry Mouth, Weight Gain",white et al. (2021)
Drug 90,NaSSA,Norepinephrine Transporter (NET),Enhances the effect of GABA at the GABA-A receptor,Schizophrenia,1989,Diarrhea,Davis et al. (2021)
Drug 91,Atypical Antipsychotic,Serotinin and Norepinephrine,Enhances the effect of GABA at the GABA-A receptor,Schizophrenia,1973,Somolence,Parker et al. (2022)
Drug 92,NaSSA,Dopamine Receptors,Inhibits reuptake of serotonin and norepinephrine,OCD,1961,Somolence,Davis et al. (2021)
Drug 93,SARI,Dopamine Receptors,Enhances the effect of GABA at the GABA-A receptor,Bipolar Disorder,2008,"Somolence, Drowsiness",Davis et al. (2021)
Drug 94,SSRI,GABA Receptor,Antagonist at centain serotinin and norepinephrine receptors,Bipolar Disorder,2008,"Akathisia, Headache",Parker et al. (2022)
Drug 95,NDRI,Norepinephrine Transporter (NET),Enhances the effect of GABA at the GABA-A receptor,Generalized Anxiety,1972,"Fatigue, Akathisia",Brown et al. (2023)
Drug 96,Anxiolytic,Serotinin Transporter (SERT),Inhibits reuptake of serotonine,Schizophrenia,1960,"Diarrhea, Dry Mouth, Drowsiness",Parker et al. (2022)
Drug 97,NDRI,Norepinephrine Transporter (NET),Inhibits reuptake of serotonine,Panic Disorder,1968,"Fatigue, Headache, Insomnia",Brown et al. (2023)
Drug 98,NaSSA,Dopamine Receptors,Enhances the effect of GABA at the GABA-A receptor,Panic Disorder,2011,Diarrhea,Brown et al. (2023)
Drug 99,NaSSA,Serotinin and Norepinephrine,Inhibits reuptake of serotonine,Depression,1978,"Fatigue, Headache",Parker et al. (2022)
Drug 100,SSRI,GABA Receptor,Enhances the effect of GABA at the GABA-A receptor,Generalized Anxiety,1988,"Somolence, Fatigue",Nuss et al. 2020
Drug 101,TCA,Norepinephrine Transporter (NET),"Partial agonism and blockade, stabilizes dopamine levels",Depression,1983,Diarrhea,Brown et al. (2023)
Drug 102,Atypical Antipsychotic,GABA Receptor,"Partial agonism and blockade, stabilizes dopamine levels",Insomnia,2005,Diarrhea,white et al. (2021)
Drug 103,Anxiolytic,GABA Receptor,"Partial agonism and blockade, stabilizes dopamine levels",Schizophrenia,1993,Drowsiness,Davis et al. (2021)
Drug 104,NaSSA,Norepinephrine Transporter (NET),Enhances the effect of GABA at the GABA-A receptor,Schizophrenia,2014,"Somolence, Fatigue",Thompson et al. (2019)
Drug 105,SARI,Dopamine Receptors,Inhibits reuptake of serotonine,Bipolar Disorder,1982,Fatigue,Parker et al. (2022)
Drug 106,NDRI,Serotinin Transporter (SERT),Inhibits reuptake of serotonin and norepinephrine,Anxiety,2011,"Dry Mouth, Akathisia, Somolence",Smith et al. (2020)
Drug 107,NDRI,Serotinin Transporter (SERT),Enhances the effect of GABA at the GABA-A receptor,Bipolar Disorder,1988,"Fatigue, Dry Mouth, Akathisia",Parker et al. (2022)
Drug 108,Atypical Antipsychotic,Dopamine Receptors,Inhibits reuptake of serotonin and norepinephrine,Schizophrenia,2012,"Insomnia, Nursea",Garcia et al. (2020)
Drug 109,Atypical Antipsychotic,Dopamine Receptors,Enhances the effect of GABA at the GABA-A receptor,Panic Disorder,1964,Headache,Thompson et al. (2019)
Drug 110,SSRI,Serotinin and Norepinephrine,Enhances the effect of GABA at the GABA-A receptor,Bipolar Disorder,1977,"Diarrhea, Dry Mouth",Nuss et al. 2020
Drug 111,TCA,Serotinin Transporter (SERT),"Partial agonism and blockade, stabilizes dopamine levels",Insomnia,2016,"Insomnia, Drowsiness",Thompson et al. (2019)
Drug 112,TCA,Dopamine Receptors,Antagonist at centain serotinin and norepinephrine receptors,Generalized Anxiety,1980,"Akathisia, Somolence",Johnson et al. (2019)
Drug 113,SSRI,Dopamine Receptors,Enhances the effect of GABA at the GABA-A receptor,Schizophrenia,1989,"Nursea, Weight Gain",Smith et al. (2020)
Drug 114,NaSSA,Dopamine Receptors,Enhances the effect of GABA at the GABA-A receptor,Generalized Anxiety,1996,"Akathisia, Somolence",Parker et al. (2022)
Drug 115,NaSSA,Dopamine Receptors,Inhibits reuptake of serotonine,OCD,1965,"Dry Mouth, Fatigue, Drowsiness",Garcia et al. (2020)
Drug 116,Atypical Antipsychotic,Dopamine Receptors,Inhibits reuptake of serotonine,Insomnia,1961,"Insomnia, Weight Gain, Nursea",Johnson et al. (2019)
Drug 117,TCA,Serotinin Transporter (SERT),Enhances the effect of GABA at the GABA-A receptor,OCD,1989,"Nursea, Headache",Brown et al. (2023)
Drug 118,Anxiolytic,Dopamine Receptors,Inhibits reuptake of serotonine,Insomnia,1971,"Dry Mouth, Fatigue",Johnson et al. (2019)
Drug 119,NDRI,Serotinin and Norepinephrine,Enhances the effect of GABA at the GABA-A receptor,Depression,1963,"Nursea, Insomnia",Sullivan et al. (2017)
Drug 120,SARI,Serotinin and Norepinephrine,Enhances the effect of GABA at the GABA-A receptor,Insomnia,1973,Diarrhea,Brown et al. (2023)
Drug 121,NaSSA,Serotinin and Norepinephrine,Antagonist at centain serotinin and norepinephrine receptors,Anxiety,1986,Insomnia,Parker et al. (2022)
Drug 122,Atypical Antipsychotic,Serotinin Transporter (SERT),"Partial agonism and blockade, stabilizes dopamine levels",Generalized Anxiety,1986,"Headache, Weight Gain",white et al. (2021)
Drug 123,TCA,Norepinephrine Transporter (NET),Enhances the effect of GABA at the GABA-A receptor,Depression,1981,"Somolence, Dry Mouth",Parker et al. (2022)
Drug 124,SSRI,GABA Receptor,Inhibits reuptake of serotonine,Depression,1968,"Akathisia, Dry Mouth",Sullivan et al. (2017)
Drug 125,SSRI,Norepinephrine Transporter (NET),Enhances the effect of GABA at the GABA-A receptor,Depression,1979,"Insomnia, Drowsiness",white et al. (2021)
Drug 126,Atypical Antipsychotic,Norepinephrine Transporter (NET),Antagonist at centain serotinin and norepinephrine receptors,Panic Disorder,1961,Somolence,Davis et al. (2021)
Drug 127,TCA,GABA Receptor,Inhibits reuptake of serotonin and norepinephrine,Panic Disorder,2019,Insomnia,Parker et al. (2022)
Drug 128,Atypical Antipsychotic,Dopamine Receptors,Inhibits reuptake of serotonine,Bipolar Disorder,1983,Diarrhea,Smith et al. (2020)
Drug 129,SSRI,Serotinin and Norepinephrine,Enhances the effect of GABA at the GABA-A receptor,Bipolar Disorder,2019,"Akathisia, Headache",Brown et al. (2023)
Drug 130,SSRI,Norepinephrine Transporter (NET),Inhibits reuptake of serotonin and norepinephrine,Insomnia,2022,Fatigue,Johnson et al. (2019)
Drug 131,TCA,Serotinin Transporter (SERT),"Partial agonism and blockade, stabilizes dopamine levels",Generalized Anxiety,1999,"Headache, Insomnia, Dry Mouth",Garcia et al. (2020)
Drug 132,SARI,Norepinephrine Transporter (NET),Enhances the effect of GABA at the GABA-A receptor,Depression,2022,"Akathisia, Insomnia, Nursea",Nuss et al. 2020
Drug 133,SARI,Serotinin Transporter (SERT),Antagonist at centain serotinin and norepinephrine receptors,Panic Disorder,1973,"Nursea, Somolence",Thompson et al. (2019)
Drug 134,NDRI,Serotinin Transporter (SERT),Inhibits reuptake of serotonin and norepinephrine,OCD,1982,Fatigue,Sullivan et al. (2017)
Drug 135,Anxiolytic,Serotinin Transporter (SERT),Inhibits reuptake of serotonine,Depression,1977,"Drowsiness, Diarrhea",Brown et al. (2023)
Drug 136,NDRI,Serotinin Transporter (SERT),Inhibits reuptake of serotonin and norepinephrine,Anxiety,1970,"Nursea, Drowsiness, Dry Mouth",white et al. (2021)
Drug 137,TCA,Serotinin Transporter (SERT),"Partial agonism and blockade, stabilizes dopamine levels",Insomnia,1961,"Fatigue, Headache, Somolence",Smith et al. (2020)
Drug 138,Atypical Antipsychotic,Dopamine Receptors,Enhances the effect of GABA at the GABA-A receptor,Bipolar Disorder,1962,Insomnia,Smith et al. (2020)
Drug 139,NDRI,Dopamine Receptors,"Partial agonism and blockade, stabilizes dopamine levels",Anxiety,1987,Fatigue,Nuss et al. 2020
Drug 140,TCA,Serotinin Transporter (SERT),Enhances the effect of GABA at the GABA-A receptor,Depression,1968,Weight Gain,Sullivan et al. (2017)
Drug 141,NDRI,Serotinin and Norepinephrine,Antagonist at centain serotinin and norepinephrine receptors,Panic Disorder,2020,"Fatigue, Drowsiness, Diarrhea",Johnson et al. (2019)
Drug 142,SARI,Norepinephrine Transporter (NET),Inhibits reuptake of serotonin and norepinephrine,Panic Disorder,2006,"Somolence, Dry Mouth",Johnson et al. (2019)
Drug 143,NDRI,GABA Receptor,Enhances the effect of GABA at the GABA-A receptor,Generalized Anxiety,1987,"Diarrhea, Nursea, Headache",white et al. (2021)
Drug 144,SSRI,Serotinin Transporter (SERT),Inhibits reuptake of serotonine,Generalized Anxiety,1962,"Drowsiness, Fatigue, Weight Gain",Sullivan et al. (2017)
Drug 145,SSRI,Serotinin and Norepinephrine,Inhibits reuptake of serotonin and norepinephrine,Generalized Anxiety,2001,Dry Mouth,Brown et al. (2023)
Drug 146,SARI,Serotinin and Norepinephrine,"Partial agonism and blockade, stabilizes dopamine levels",Bipolar Disorder,1998,"Nursea, Insomnia, Diarrhea",white et al. (2021)
Drug 147,SSRI,Dopamine Receptors,Antagonist at centain serotinin and norepinephrine receptors,Bipolar Disorder,1975,"Somolence, Insomnia, Drowsiness",white et al. (2021)
Drug 148,SSRI,Serotinin Transporter (SERT),Inhibits reuptake of serotonine,Panic Disorder,1998,"Akathisia, Dry Mouth",Thompson et al. (2019)
Drug 149,TCA,Dopamine Receptors,Enhances the effect of GABA at the GABA-A receptor,Anxiety,1994,Drowsiness,Nuss et al. 2020
Drug 150,Anxiolytic,Norepinephrine Transporter (NET),Enhances the effect of GABA at the GABA-A receptor,Schizophrenia,2022,"Weight Gain, Headache",Sullivan et al. (2017)
Drug 151,Atypical Antipsychotic,Dopamine Receptors,"Partial agonism and blockade, stabilizes dopamine levels",Generalized Anxiety,2001,"Akathisia, Dry Mouth",Nuss et al. 2020
Drug 152,SARI,Serotinin and Norepinephrine,Inhibits reuptake of serotonine,Depression,1968,"Akathisia, Weight Gain",Johnson et al. (2019)
Drug 153,NaSSA,Norepinephrine Transporter (NET),Inhibits reuptake of serotonine,Depression,1992,Diarrhea,Garcia et al. (2020)
Drug 154,Anxiolytic,Serotinin and Norepinephrine,Inhibits reuptake of serotonine,Generalized Anxiety,2021,"Headache, Dry Mouth",Johnson et al. (2019)
Drug 155,SARI,GABA Receptor,Antagonist at centain serotinin and norepinephrine receptors,Schizophrenia,1969,Insomnia,Davis et al. (2021)
Drug 156,NDRI,GABA Receptor,"Partial agonism and blockade, stabilizes dopamine levels",OCD,2005,"Drowsiness, Weight Gain",white et al. (2021)
Drug 157,NDRI,Dopamine Receptors,Inhibits reuptake of serotonin and norepinephrine,Depression,1983,"Fatigue, Akathisia",Brown et al. (2023)
Drug 158,NDRI,Norepinephrine Transporter (NET),Inhibits reuptake of serotonin and norepinephrine,Anxiety,2018,"Dry Mouth, Fatigue",Smith et al. (2020)
Drug 159,SSRI,Norepinephrine Transporter (NET),Inhibits reuptake of serotonine,Generalized Anxiety,2007,Diarrhea,Garcia et al. (2020)
Drug 160,NDRI,Serotinin and Norepinephrine,Enhances the effect of GABA at the GABA-A receptor,Depression,1984,"Akathisia, Fatigue",white et al. (2021)
Drug 161,SARI,GABA Receptor,Inhibits reuptake of serotonine,Anxiety,1973,"Weight Gain, Somolence",Nuss et al. 2020
Drug 162,Atypical Antipsychotic,Norepinephrine Transporter (NET),Enhances the effect of GABA at the GABA-A receptor,Depression,1978,"Fatigue, Insomnia, Headache",Smith et al. (2020)
Drug 163,Atypical Antipsychotic,GABA Receptor,Inhibits reuptake of serotonine,Depression,1965,"Headache, Fatigue",Sullivan et al. (2017)
Drug 164,SARI,GABA Receptor,Antagonist at centain serotinin and norepinephrine receptors,Anxiety,1989,"Weight Gain, Dry Mouth, Akathisia",Davis et al. (2021)
Drug 165,NDRI,Serotinin Transporter (SERT),Enhances the effect of GABA at the GABA-A receptor,Generalized Anxiety,1991,"Nursea, Somolence",white et al. (2021)
Drug 166,SSRI,Dopamine Receptors,Enhances the effect of GABA at the GABA-A receptor,Anxiety,1983,"Drowsiness, Nursea",Garcia et al. (2020)
Drug 167,NaSSA,Serotinin Transporter (SERT),Antagonist at centain serotinin and norepinephrine receptors,Insomnia,1999,"Akathisia, Headache",Nuss et al. 2020
Drug 168,SARI,Serotinin Transporter (SERT),"Partial agonism and blockade, stabilizes dopamine levels",Anxiety,1967,Somolence,Smith et al. (2020)
Drug 169,Anxiolytic,Dopamine Receptors,Inhibits reuptake of serotonin and norepinephrine,Insomnia,2021,Headache,Parker et al. (2022)
Drug 170,SSRI,GABA Receptor,"Partial agonism and blockade, stabilizes dopamine levels",Panic Disorder,1992,"Insomnia, Weight Gain, Nursea",Smith et al. (2020)
Drug 171,SSRI,Norepinephrine Transporter (NET),"Partial agonism and blockade, stabilizes dopamine levels",Insomnia,1968,"Weight Gain, Headache, Akathisia",Garcia et al. (2020)
Drug 172,SARI,Dopamine Receptors,Antagonist at centain serotinin and norepinephrine receptors,Insomnia,2007,"Drowsiness, Fatigue",Nuss et al. 2020
Drug 173,SARI,GABA Receptor,Antagonist at centain serotinin and norepinephrine receptors,Insomnia,2000,"Akathisia, Weight Gain",Davis et al. (2021)
Drug 174,Atypical Antipsychotic,Norepinephrine Transporter (NET),Inhibits reuptake of serotonine,Anxiety,2022,"Headache, Insomnia, Somolence",Parker et al. (2022)
